,Alist,Blist,AngleList,CentreX,CentreY
0,25.07313353398387,25.07313353398387,0.0,15,32
1,25.731003930322746,25.731003930322746,0.0,9,148
2,18.12445316531431,18.12445316531431,0.0,11,224
3,20.575523046193542,20.575523046193542,0.0,9,285
4,26.390567083147985,26.390567083147985,0.0,18,352
5,71.0,38.0,103.75387668811886,34,1033
6,22.79912375812128,22.79912375812128,0.0,14,1163
7,73.0,39.0,8.670693722238354,54,1237
8,25.00957669276209,25.00957669276209,0.0,10,1347
9,71.0,38.0,57.787149311571575,40,1462
10,86.0,46.0,108.154243025671,40,1586
11,89.0,47.0,96.9829705014549,38,1811
12,41.54366621867301,41.54366621867301,0.0,19,1987
13,25.97111181338705,25.97111181338705,0.0,20,2087
14,85.0,45.0,40.41075412650303,55,2188
15,33.04244103589204,33.04244103589204,0.0,29,2267
16,43.07468312785732,43.07468312785732,0.0,32,2344
17,83.0,44.0,79.25147112080768,37,2489
18,40.898880814709585,40.898880814709585,0.0,54,2588
19,74.0,39.0,71.73204688237593,40,671
20,7.694520051971082,7.694520051971082,0.0,25,1709
21,70.0,37.0,10.804724462730107,54,786
22,71.0,38.0,18.51166396683999,54,920
23,72.0,38.0,27.06852519683803,76,1362
24,72.0,38.0,156.56470195108844,75,271
25,72.0,38.0,133.65764281249605,72,1123
26,67.0,35.0,47.96701135066455,99,1890
27,76.0,40.0,14.485830169851226,87,182
28,76.0,40.0,63.987953357823,115,2490
29,78.0,41.0,0.5799775556388767,109,463
30,78.0,41.0,162.14482394802206,110,1984
31,78.0,41.0,37.19306151210258,105,2116
32,78.0,41.0,41.33576463247374,123,642
33,78.0,41.0,56.56374091954518,114,1728
34,78.0,41.0,28.753407666842122,139,875
35,78.0,41.0,153.11282219461748,153,2377
36,78.0,41.0,39.135337408780224,158,380
37,78.0,41.0,30.11923703752838,155,560
38,78.0,41.0,8.838635825722093,165,746
39,77.0,41.0,12.880156654013362,173,1587
40,79.0,42.0,4.74808902869745,140,2286
41,78.0,41.0,83.73269352356446,161,1465
42,78.0,41.0,60.65916218896692,163,1325
43,78.0,41.0,34.4302189637017,166,1215
44,74.0,39.0,168.34671560905218,194,2577
45,78.0,41.0,47.9128847406882,187,2079
46,79.0,42.0,99.39584752835856,184,257
47,79.0,42.0,151.6997500092444,196,112
48,77.0,41.0,20.970053342609418,198,1086
49,79.0,42.0,15.820060081519642,202,2215
50,78.0,41.0,35.18332377750687,200,1693
51,78.0,41.0,12.789026193990608,213,1875
52,79.0,42.0,42.42543172771617,208,2478
53,77.0,41.0,9.236077551622031,221,1003
54,78.0,41.0,18.5459306745298,235,835
55,78.0,41.0,58.85450591727505,241,2011
56,78.0,41.0,36.34238852885072,262,542
57,77.0,41.0,120.88904748318782,252,1487
58,77.0,41.0,66.66864028284579,258,1340
59,77.0,41.0,24.300444679581062,266,1185
60,78.0,41.0,29.005782358517187,266,366
61,78.0,41.0,32.1534436475334,268,1805
62,77.0,41.0,170.9513805019398,282,924
63,78.0,41.0,149.958969843913,283,2291
64,42.20877199079211,42.20877199079211,0.0,276,26
65,78.0,41.0,18.37854932898935,291,201
66,78.0,41.0,93.7527486501586,288,2414
67,78.0,41.0,6.49051793567557,293,642
68,78.0,41.0,22.009449895129364,305,2177
69,78.0,41.0,8.884137367307076,303,462
70,78.0,41.0,28.231534522916483,299,735
71,78.0,41.0,18.67837734262281,306,1656
72,78.0,41.0,20.23345438418663,309,293
73,77.0,41.0,1.2659421013416932,321,1571
74,77.0,41.0,41.26163338256667,320,1972
75,78.0,41.0,2.409827938087517,337,123
76,77.0,41.0,22.24074384225456,343,1751
77,78.0,41.0,32.66649714284035,339,1291
78,78.0,41.0,153.34431723688823,345,2081
79,74.0,39.0,1.5485457040553285,343,2580
80,60.0,32.0,143.0799590055894,338,2504
81,77.0,41.0,13.58218081224257,375,1149
82,77.0,41.0,10.411923662797605,361,1062
83,77.0,41.0,162.59780409183298,378,1391
84,77.0,41.0,33.08537140507805,377,1909
85,78.0,41.0,63.06571875162513,378,575
